material;season;brand;style;name;characteristics;composition;gender;department;category;type;site;noimages;comment;status
24A081501-GAH;253;billabong;24A081501;"Sundays 18.5""- Airlite Performance Boardshorts for Men";"__Fabric:__ 91% Recycled polyester 9% elastane blend fabric
An omni-directional engineered, stretch jacquard weave fabric technology
__Exterior Fabric:__ Airlite Recycler is our most flexible, perforated stretch jersey, now made from 100% Recycled materials stretch
Made from recycled PET plastic bottles and Ciclo fibers
__Coating:__  Micro Repel water repellent coating for a lightweight and quick drying fabric
__Fit:__ Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance
__Waist:__ Fixed waist
__Closure:__ Drawcord closure
__Outseam:__ 18.5""outseam, mid length
__Pockets:__ Back patch pocket
__Other Features:__ The Airlite boardshort is built to the way you surf
Airlite features three unique performance fabrics seamlessly engineered into one, to give you Stability, Flexibility and Comfort where you need it most - plus you get points for style with print and color
The Ciclo fibers used to make this boardshort provide a pinnacle eco solution";91% Recycled Polyester 9% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A081505-CHI;253;billabong;24A081505;"Good Times Pro 18.5"" - Performance Boardshorts for Men";"__Fabric:__ 4-way stretch 90% recycled polyester 10% elastane blend fabric
__Technology:__ Upcycler 4 way stretch
A high performance fabric made from sustainable polyester recycled from waste textiles and old clothing, and recycled PET plastic bottles
The perfect combination of performance and comfort
__Coating:__  Micro Repel water repellent coating for a lightweight and quick drying fabric
__Fit:__ Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance 
__Waist:__ Fixed waist
__Closure:__ Drawcord closure
__Outseam:__ 18.5"" outseam, mid length
__Pockets:__ Back patch pockets
__Other Features:__ This Printed boardshort will tape our curated style to a new level";90% Recycled Polyester 10% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A081516-SGG;253;billabong;24A081516;"Wategos 17.5"" -  Lo Tides Boardshorts for Men";"__Fabric:__ Nylon fabric
__Length:__ 17.5""";100% Recycled Nylon (Polyamide);Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A081518-PHM;253;billabong;24A081518;"Sundays 18.5"" -  Lo Tides Boardshorts for Men";"__Fabric:__ 4-way pro stretch fabric
__Length:__ 18.5""";90% Recycled Polyester / 10% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A081521-PEW;253;billabong;24A081521;"Straddie Pro 20"" - Performance Boardshorts for Men";"__Fabric:__ Upcycler 4 way stretch 90% recycled polyester 10% elastane blend fabric
A high performance fabric made from sustainable polyester recycled from waste textiles and old clothing, and recycled PET plastic bottles
The perfect combination of performance and comfort
__Coating:__  Micro Repel water repellent coating for a lightweight and quick drying fabric
__Fit:__ Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance
__Waist:__ Fixed waist
__Closure:__ Drawcord closure 
__Outseam:__ 20"" outseam, mid length
__Pockets:__ Back pocket
__Other Features:__ Featuring side paneling";90% Recycled Polyester 10% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A081522-DKN;253;billabong;24A081522;"Fluid 2K Pro 21"" - Performance Boardshorts for Men";"__Fabric:__ Recycler 4 way stretch 90% recycled polyester 10% elastane blend fabric
A high performance fabric made from recycled PET plastic bottles
The perfect combination of performance and comfort
__Coating:__  Micro Repel water repellent coating for a lightweight and quick drying fabric
__Fit:__ Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance 
__Waist:__ Fixed waist
__Closure:__ Drawcord closure
__Outseam:__ 21"" outseam, long length
__Other Features:__ Fluid 2K Pro offers classic style and top notch performance";90% Recycled Polyester 10% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A081522-STH;253;billabong;24A081522;"Fluid 2K Pro 21"" - Performance Boardshorts for Men";"__Fabric:__ Recycler 4 way stretch 90% recycled polyester 10% elastane blend fabric
A high performance fabric made from recycled PET plastic bottles
The perfect combination of performance and comfort
__Coating:__  Micro Repel water repellent coating for a lightweight and quick drying fabric
__Fit:__ Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance 
__Waist:__ Fixed waist
__Closure:__ Drawcord closure
__Outseam:__ 21"" outseam, long length
__Other Features:__ Fluid 2K Pro offers classic style and top notch performance";90% Recycled Polyester 10% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A083575-DBR;253;billabong;24A083575;"Spec 73 D Bah 2.0 Pro 20"" - Board Shorts for Men";"Part of the Spec73 collection
20"" Length
Fixed waist performance boardshort
Recycled PET plastic bottles
Micro Repel coating for quick-dry fabric
Cut 'n' sew panel
Billabong stencil font
Back pocket
Spec73 branding";[Main Fabric] 100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A083576-BLK;253;billabong;24A083576;"Bracket Pro 21"" - Board Shorts for Men";"Part of the Spec73 collection
21"" Length
Fixed waist performance boardshort
Recycled PET plastic bottles
Micro Repel coating for quick-dry fabric
Cut 'n' sew panel
Billabong stencil font
Back pocket
Spec73 branding";[Main Fabric] 100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A083577-FRS;253;billabong;24A083577;"Spec 73 Pro 22"" - Board Shorts for Men";"Part of the Spec73 collection
22"" Length
Fixed waist performance boardshort
Recycled PET plastic bottles
Micro Repel coating for quick-dry fabric
Billabong stencil font
Small pocket on other side
Spec73 branding";[Main Fabric] 100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A083583-BLK;253;billabong;24A083583;"Otis Flag Dbah Pro 19"" - Board Shorts for Men";"4-Way Pro Stretch
19"" Pro Fit
Back pocket with collection flag logo detail
Side piping detail
Screen print with collection art branding
Designed in conjunction with Otis Carey";[Main Fabric] 90% Recycled Polyester, 10% Elastane;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A253573-BLK;253;billabong;24A253573;Throw On - Board Shorts for Men;"__Fabric:__ Surf suede
__Technology:__ Micro Repel water repellent coating keeps fabric light and quick drying
__Outseam:__ 21"" outseam, below knee
__Fit:__ Elasticated waist fit
__Pockets:__ Side-entry pockets with mesh pocket bags
__Pockets:__ Cargo side pockets with hook & loop closure";[Main Fabric] 100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A253573-NVY;253;billabong;24A253573;Throw On - Board Shorts for Men;"__Fabric:__ Surf suede
__Technology:__ Micro Repel water repellent coating keeps fabric light and quick drying
__Outseam:__ 21"" outseam, below knee
__Fit:__ Elasticated waist fit
__Pockets:__ Side-entry pockets with mesh pocket bags
__Pockets:__ Cargo side pockets with hook & loop closure";[Main Fabric] 100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Boardshort;NEW;false;;
24A253574-BLK;253;billabong;24A253574;"Throw Ons 2.0 21"" - Swim Shorts for Men";"__Fabric:__ Surf suede
__Technology:__ Micro Repel water repellent coating keeps fabric light and quick drying
__Outseam:__ 21"" outseam, below knee
__Fit:__ Elasticated waist fit
__Pockets:__ Side-entry pockets with mesh pocket bags
__Pockets:__ Cargo side pockets with hook & loop closure";[Main Fabric] 100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;NEW;false;;
EBYJV00134-0019;253;billabong;EBYJV00134;"All Day 16"" - Layback Swim Shorts for Men";"__Fabric:__ Recycled polyester surf suede fabric
Made from recycled PET plastic bottles
__Waterproofing:__ Durable Water Repellent [DWR] fabric treatment to keep you dry and protected from the elements
Coating: Micro Repel water repellent coating keeps fabric light and quick drying
__Fit:__ Layback fit
__Waist:__ Fully elasticated waist
__Outseam:__ 16"" outseam, short length
__Pockets:__ Side pockets
__Closure:__Drawcord closure
__Lining:__ Inner mesh brief";100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;C/O;false;;
EBYJV00134-0021;253;billabong;EBYJV00134;"All Day 16"" - Layback Swim Shorts for Men";"__Fabric:__ Recycled polyester surf suede fabric
Made from recycled PET plastic bottles
__Waterproofing:__ Durable Water Repellent [DWR] fabric treatment to keep you dry and protected from the elements
Coating: Micro Repel water repellent coating keeps fabric light and quick drying
__Fit:__ Layback fit
__Waist:__ Fully elasticated waist
__Outseam:__ 16"" outseam, short length
__Pockets:__ Side pockets
__Closure:__Drawcord closure
__Lining:__ Inner mesh brief";100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;C/O;false;;
EBYJV00134-5598;253;billabong;EBYJV00134;"All Day 16"" - Layback Swim Shorts for Men";"__Fabric:__ Recycled polyester surf suede fabric
Made from recycled PET plastic bottles
__Waterproofing:__ Durable Water Repellent [DWR] fabric treatment to keep you dry and protected from the elements
Coating: Micro Repel water repellent coating keeps fabric light and quick drying
__Fit:__ Layback fit
__Waist:__ Fully elasticated waist
__Outseam:__ 16"" outseam, short length
__Pockets:__ Side pockets
__Closure:__Drawcord closure
__Lining:__ Inner mesh brief";100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;C/O;false;;
EBYJV00134-BNJ0;253;billabong;EBYJV00134;"All Day 16"" - Layback Swim Shorts for Men";"__Fabric:__ Recycled polyester surf suede fabric
Made from recycled PET plastic bottles
__Waterproofing:__ Durable Water Repellent [DWR] fabric treatment to keep you dry and protected from the elements
Coating: Micro Repel water repellent coating keeps fabric light and quick drying
__Fit:__ Layback fit
__Waist:__ Fully elasticated waist
__Outseam:__ 16"" outseam, short length
__Pockets:__ Side pockets
__Closure:__Drawcord closure
__Lining:__ Inner mesh brief";100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;C/O;false;;
EBYJV00134-MIL;253;billabong;EBYJV00134;"All Day 16"" - Layback Swim Shorts for Men";"__Fabric:__ Recycled polyester surf suede fabric
Made from recycled PET plastic bottles
__Waterproofing:__ Durable Water Repellent [DWR] fabric treatment to keep you dry and protected from the elements
Coating: Micro Repel water repellent coating keeps fabric light and quick drying
__Fit:__ Layback fit
__Waist:__ Fully elasticated waist
__Outseam:__ 16"" outseam, short length
__Pockets:__ Side pockets
__Closure:__Drawcord closure
__Lining:__ Inner mesh brief";100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;C/O;false;;
EBYJV00134-RSD0;253;billabong;EBYJV00134;"All Day 16"" - Layback Swim Shorts for Men";"__Fabric:__ Recycled polyester surf suede fabric
Made from recycled PET plastic bottles
__Waterproofing:__ Durable Water Repellent [DWR] fabric treatment to keep you dry and protected from the elements
Coating: Micro Repel water repellent coating keeps fabric light and quick drying
__Fit:__ Layback fit
__Waist:__ Fully elasticated waist
__Outseam:__ 16"" outseam, short length
__Pockets:__ Side pockets
__Closure:__Drawcord closure
__Lining:__ Inner mesh brief";100% Recycled Polyester;Men;Swimwear;Boardshorts/Jams;Jam/Volley;C/O;false;;
24A583504-SIL;253;billabong;24A583504;A/Div Reissue - Cuff Beanie for Men;"Woven patch branding on cuff
__Fabric:__ Recycled polyester, acrylic
Standard fit";60% Recycled Polyester 40% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00486-BLH0;253;billabong;ABYHA00486;A/Div Barrow - Skull Fit Knit Beanie for Men;"12-gauge acrylic knit
Flag label branding.";[Main Fabric] 50% Acrylic, 50% Recycled Polyester;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00486-BLK;253;billabong;ABYHA00486;A/Div Barrow - Skull Fit Knit Beanie for Men;"12-gauge acrylic knit
Flag label branding.";[Main Fabric] 50% Acrylic, 50% Recycled Polyester;Men;Accessories;Headwear;Beanie;C/O;false;;
ABYHA00486-CSR0;253;billabong;ABYHA00486;A/Div Barrow - Skull Fit Knit Beanie for Men;"12-gauge acrylic knit
Flag label branding.";[Main Fabric] 50% Acrylic, 50% Recycled Polyester;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-BLK;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;C/O;false;;
ABYHA00512-BMR0;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-CSR0;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-GJK0;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-GRH;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-KRQ0;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-MIL;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-MKM0;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-SLB;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;C/O;false;;
ABYHA00512-SNY0;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
ABYHA00512-STN;253;billabong;ABYHA00512;Arcade - Skull Fit Knit Cuffed Beanie for Men;"10-gauge 2x2 acrylic rib knit
Flag label branding.";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;C/O;false;;
EBYHA00153-KRQ0;253;billabong;EBYHA00153;Mogul - Beanie for Men;"__Fabric:__ Acrylic
__Details:__ Waffle knit
10 gauge
Feature Mogul patch";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00153-NJY0;253;billabong;EBYHA00153;Mogul - Beanie for Men;"__Fabric:__ Acrylic
__Details:__ Waffle knit
10 gauge
Feature Mogul patch";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00154-CPP0;253;billabong;EBYHA00154;A/Div Patch - Beanie for Men;"__Fabric:__ Acrylic
__Details:__ Part of Luke Taaffe collaboration
Custom woven and rubber patch on cuff
Classic fit beanie
12 gauge
1x1 rib cuffed beanie
Embroidered arch logo on cuff";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00154-GPL0;253;billabong;EBYHA00154;A/Div Patch - Beanie for Men;"__Fabric:__ Acrylic
__Details:__ Part of Luke Taaffe collaboration
Custom woven and rubber patch on cuff
Classic fit beanie
12 gauge
1x1 rib cuffed beanie
Embroidered arch logo on cuff";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-BLK;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-CPP0;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-GPL0;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-KHA;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-KTW0;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-RZA0;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
EBYHA00155-YMD0;253;billabong;EBYHA00155;Every Other Day - Cuff Beanie for Men;"__Fabric:__ Acrylic
__Details:__ 12 gauge 1/1 rib beanie
Each colourway features a unique patch or woven label";[Main Fabric] 100% Acrylic;Men;Accessories;Headwear;Beanie;NEW;false;;
24A551501-BRN;253;billabong;24A551501;Lounge - Trucker Cap for Men;"Front seasonal embroidery and patch
Back woven label
__Fabric:__ Polyester, cotton";71% Polyester, 29% Cotton;Men;Accessories;Headwear;Cap;NEW;false;;
24A551506-MDB;253;billabong;24A551506;Walled - Trucker Cap for Men;"Front seasonal embroidery and patch
Back woven label
__Fabric:__ Polyester, cotton";53% Polyester, 47% Cotton;Men;Accessories;Headwear;Cap;NEW;false;;
24A551511-TOB;253;billabong;24A551511;Breakdown - Snapback Cap for Men;"Front seasonal artwork and back woven flag label
Moisture-wicking sweatband
__Fabric:__ Cotton
5-panel design
Plastic snap closure";100% Cotton;Men;Accessories;Headwear;Cap;NEW;false;;
24A551512-BLK;253;billabong;24A551512;Heritage - Snapback Cap for Men;"Woven flag label on back and brim
Demi curve
__Fabric:__ Cotton corduroy";100% Cotton;Men;Accessories;Headwear;Cap;NEW;false;;
24A551512-SSB;253;billabong;24A551512;Heritage - Snapback Cap for Men;"Woven flag label on back and brim
Demi curve
__Fabric:__ Cotton corduroy";100% Cotton;Men;Accessories;Headwear;Cap;NEW;false;;
